Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Physical Attack,2011,12/2/2011,4:15 PM,12/2/2011,8:30 PM,Luminant Energy Company LLC,Rusk County Texas,TRE,N/A,N/A,"vandalism, physical"
Severe Weather,2011,12/1/2011,12:45 AM,12/7/2011,9:00 PM,Southern California Edison (SCE),Southern California,WECC,N/A,"91,690",severe weather
Severe Weather,2011,12/1/2011,10:00 AM,12/2/2011,1:11 PM,PacifiCorp,Wasatch Front Area Utah,WECC,N/A,"60,000",severe weather
Severe Weather,2011,12/1/2011,3:29 AM,12/2/2011,1:05 PM,Pacific Gas and Electric,Northern California,WECC,300,"100,000",severe weather
Vandalism,2011,11/30/2011,10:00 AM,11/30/2011,11:00 AM,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0,vandalism
Severe Weather,2011,11/30/2011,4:56 PM,12/2/2011,10:00 AM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N/A,"150,000",severe weather
Physical Attack,2011,11/22/2011,11:16 PM,11/22/2011,11:16 PM,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical"
Vandalism,2011,11/14/2011,2:24 PM,11/14/2011,2:24 PM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Vandalism,2011,11/13/2011,11:30 AM,11/13/2011,12:00 PM,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,vandalism
Vandalism,2011,11/4/2011,10:46 AM,11/4/2011,10:46 AM,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0,vandalism
Severe Weather,2011,10/29/2011,12:57 PM,11/3/2011,11:00 PM,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,N/A,"146,721",severe weather
Severe Weather,2011,10/29/2011,4:16 PM,11/2/2011,9:30 PM,"Consolidated Edison Company of NY, Inc",New York City area,NPCC,N/A,"50,000",severe weather
Severe Weather,2011,10/29/2011,8:00 PM,10/31/2011,8:00 PM,"Orange and Rockland Utilities, Inc",New Jersey; New York,"NPCC, RFC",N/A,"74,000",severe weather
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,7:58 PM,Metropolitan Edison Company,Pennsylvania,RFC,N/A,"312,359",severe weather
Severe Weather,2011,10/29/2011,4:14 PM,11/7/2011,4:00 PM,ISO New England,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,NPCC,N/A,"1,418,100",severe weather
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,3:00 PM,Potomac Edison,Pennsylvania,RFC,N/A,"50,000",severe weather
Severe Weather,2011,10/29/2011,2:00 PM,10/31/2011,14:00,Exelon Corporation/PECO,Southeast Pennsylvania,RFC,N/A,"109,335",severe weather
Severe Weather,2011,10/29/2011,9:59 AM,11/7/2011,1:00 PM,Jersey Central Power & Light Company,Northwest and Central New Jersey,RFC,N/A,"379,000",severe weather
Severe Weather,2011,10/29/2011,2:30 PM,11/6/2011,12:00 PM,Public Service Electric and Gas Company,New Jersey,RFC,125,"197,000",severe weather
Severe Weather,2011,10/29/2011,3:00 PM,11/2/2011,8:15 AM,Central Hudson Gas & Electric Corp.,"Mid-Hudson Valley Region, New York",NPCC,N/A,"145,000",severe weather
Severe Weather,2011,10/29/2011,11:18 AM,11/4/2011,12:00 AM,New York State Elec & Gas Corp,Southeast New York,NPCC,N/A,"161,151",severe weather
Vandalism,2011,10/27/2011,1:00 AM,10/27/2011,2:36 AM,Midwest ISO,"Munster, Indiana",RFC,N/A,N/A,vandalism
Severe Weather,2011,10/26/2011,5:00 AM,10/27/2011,3:00 PM,Public Service Company of Colorado,"Denver; Ft. Collins, Colorado",WECC,N/A,"204,000",severe weather
Physical Attack,2011,10/24/2011,11:37 PM,10/26/2011,11:00 PM,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/20/2011,7:15 AM,10/20/2011,7:15 AM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Physical Attack,2011,10/18/2011,3:45 AM,10/18/2011,5:25 AM,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/17/2011,3:44 PM,10/17/2011,3:44 PM,Duke Energy,Southwest Ohio,RFC,7,"2,000",vandalism
Vandalism,2011,10/17/2011,3:34 AM,10/17/2011,10:42 AM,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0,vandalism
Vandalism,2011,10/14/2011,2:20 PM,10/14/2011,2:20 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Physical Attack,2011,10/7/2011,8:04 AM,10/7/2011,4:00 PM,City of Tacoma - TPWR,"Olympic Pipeline, Spanaway, Washington",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2011,10/6/2011,11:07 AM,10/6/2011,11:07 AM,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0,vandalism
Physical Attack,2011,9/30/2011,8:22 AM,9/30/2011,8:22 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/29/2011,6:44 PM,9/30/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Severe Weather,2011,9/29/2011,5:00 AM,9/30/2011,6:00 AM,CenterPoint Energy,"Houston metro area, Texas",TRE,N/A,65000,severe weather
Physical Attack,2011,9/28/2011,4:41 PM,9/28/2011,4:41 PM,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/28/2011,2:59 PM,9/28/2011,2:59 PM,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/28/2011,9:30 AM,9/28/2011,1:00 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,N/A,N/A,vandalism
Vandalism,2011,9/26/2011,10:15 AM,9/26/2011,10:15 AM,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/24/2011,4:17 PM,9/25/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,9/23/2011,9:04 AM,9/23/2011,9:04 AM,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0,vandalism
Vandalism,2011,9/22/2011,2:50 PM,9/22/2011,2:51 PM,Dayton Power & Light,"Montgomery County, Ohio",RFC,N/A,0,vandalism
Generator Trip,2011,9/21/2011,2:37 PM,9/21/2011,3:47 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"319,616",load shedding
Physical Attack,2011,9/21/2011,10:30 AM,9/21/2011,10:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/20/2011,12:55 PM,9/20/2011,5:00 PM,City of Tacoma (TPWR),"Lacamas Substaion, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,9/14/2011,9:00 AM,9/14/2011,2:00 PM,PacifiCorp,"Salt Lake County, Utah",WECC,0,0,vandalism
Vandalism,2011,9/13/2011,2:03 PM,9/13/2011,6:21 PM,New York Power Authority,"Saranac, New York",NPCC,N/A,0,vandalism
Vandalism,2011,9/13/2011,11:43 AM,9/14/2011,4:00 PM,City of Tacoma (TPWR),"Lacamas Substation, Roy, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,9/12/2011,9:15 AM,9/12/2011,3:30 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/8/2011,7:53 PM,9/9/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Generator Trip,2011,9/8/2011,3:28 PM,9/10/2011,3:30 PM,WECC Reliability Coordinator,Arizona; California,WECC,"7,000","2,000,000","transmission interruption, distribution interruption"
Declared Energy Emergency,2011,9/7/2011,12:08 AM,9/7/2011,10:50 AM,ISO New England,Western Connecticut; New York,NPCC,0,0,"vandalism, physical"
Severe Weather,2011,9/5/2011,4:30 PM,9/7/2011,3:45 PM,Southern Company,Alabama; Georgia,SERC,177,"53,295",severe weather
Severe Weather,2011,9/3/2011,2:00 PM,9/8/2011,6:00 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeast Lower Peninsula, Michigan",RFC,N/A,"105,000",severe weather
Vandalism,2011,9/1/2011,8:13 AM,9/1/2011,4:00 PM,City of Tacoma (TPWR),"Graham Substaion, Washington",WECC,N/A,N/A,vandalism
Physical Attack,2011,8/31/2011,12:52 PM,8/31/2011,12:52 PM,Duke Energy,Southwest Ohio,RFC,0,0,"vandalism, physical"
Physical Attack,2011,8/28/2011,8:55 PM,8/28/2011,11:39 PM,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,"vandalism, physical"
Severe Weather,2011,8/28/2011,12:30 PM,8/28/2011,12:31 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,N/A,"116,000",severe weather
Severe Weather,2011,8/28/2011,12:10 PM,8/28/2011,12:11 PM,ISO New England,Eastern Massachusetts,NPCC,N/A,"50,000",severe weather
Severe Weather,2011,8/28/2011,7:40 AM,8/29/2011,7:40 AM,The United illuminating Company,Southwest Connecticut,NPCC,N/A,"158,000",severe weather
Severe Weather,2011,8/28/2011,5:01 AM,9/3/2011,5:01 AM,"Consolidated Edison Company of NY, Inc.",Borough's and Westshester County New York,NPCC,N/A,50000,severe weather
Severe Weather,2011,8/28/2011,5:00 AM,8/30/2011,5:00 AM,Long Island Power Authority,"Long Island, New York",NPCC,N/A,"152,261",severe weather
Severe Weather,2011,8/28/2011,2:58 AM,8/30/2011,2:58 AM,PPL Electric Utilities,Eastern and Northeastern Pennsylvania,RFC,110,"284,000",severe weather
Severe Weather,2011,8/28/2011,12:30 AM,8/30/2011,12:30 AM,FirstEnergy Corp: Jersey Central Power & Light,Northern and Central New Jersey,RFC,N/A,"650,000",severe weather
Severe Weather,2011,8/28/2011,12:23 AM,8/30/2011,12:23 AM,Public Service Electric and Gas Company,New Jersey,RFC,500,"665,000",severe weather
Severe Weather,2011,8/28/2011,7:00 AM,9/3/2011,12:01 AM,New York State Electric & Gas Corporation,New York,NPCC,N/A,"99,700",severe weather
Severe Weather,2011,8/28/2011,9:42 AM,8/30/2011,12:01 AM,Niagara Mohawk Power Corporation,Eastern New York,NPCC,N/A,"100,000",severe weather
Severe Weather,2011,8/28/2011,12:01 AM,8/30/2011,12:01 AM,Central Hudson Gas & Electric,"Mid-Hudson, New York",NPCC,N/A,"180,000",severe weather
Severe Weather,2011,8/27/2011,8:30 PM,9/4/2011,11:30 PM,Baltimore Gas and Electric Company,Maryland,RFC,"1,114","760,113",severe weather
Severe Weather,2011,8/27/2011,2:57 AM,8/29/2011,11:30 PM,Progress Energy Carolinas,Eastern North Carolina,SERC,N/A,"285,465",severe weather
Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,10:00 PM,Exelon Corporation / PECO,Pennsylvania,RFC,N/A,"264,000",severe weather
Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,4:00 PM,Atlantic City Electric Company,Southern New Jersey,RFC,320,"140,000",severe weather
Severe Weather,2011,8/27/2011,11:05:00 p.m.,8/29/2011,3:30 PM,Pepco,District of Columbia; Maryland,RFC,N/A,"220,000",severe weather
Severe Weather,2011,8/27/2011,10:33 AM,8/29/2011,2:00 PM,Dominion Virginia Power,North Carolina; Virginia,SERC,N/A,"1,000,000",severe weather
Severe Weather,2011,8/27/2011,7:00 PM,8/29/2011,1:31 PM,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,"136,000",severe weather
Severe Weather,2011,8/27/2011,1:00 PM,8/29/2011,1:00 PM,Delmarva Power & Light Company,Delaware; Maryland,RFC,N/A,"165,000",severe weather
Severe Weather,2011,8/27/2011,11:00 PM,8/29/2011,8:00 AM,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,N/A,"108,000",severe weather
Declared Energy Emergency,2011,8/27/2011,2:00 AM,8/27/2011,5:15 AM,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,"1,200",distribution interruption
Severe Weather,2011,8/26/2011,12:30 AM,8/28/2011,12:30 AM,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,N/A,"200,717",severe weather
Severe Weather,2011,8/25/2011,12:30 AM,8/28/2011,8:00 PM,FirstEnergy Corp: Cleveland Electric Illuminating Company,"Cleveland area, Ohio",RFC,N/A,"107,833",severe weather
Physical Attack,2011,8/25/2011,12:01 AM,8/25/2011,12:01 AM,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical"
Severe Weather,2011,8/24/2011,2:51 PM,8/24/2011,10:00 PM,American Electric Power (AEP),"Arkansas, Louisiana, Texas",SPP,N/A,"53,064",severe weather
Public Appeal,2011,8/24/2011,1:20 PM,8/29/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Severe Weather,2011,8/24/2011,7:45 AM,8/25/2011,6:00 AM,CenterPoint Energy,"Houston area, Texas",TRE,485,"79,000",severe weather
Public Appeal,2011,8/23/2011,3:43 PM,8/23/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Public Appeal,2011,8/23/2011,10:30 AM,8/23/2011,4:54 PM,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",SPP,0,0,public appeal
Earthquake,2011,8/23/2011,1:51 PM,8/23/2011,1:51 PM,Dominion Virginia Power,Virginia,RFC,0,0,earthquake
Physical Attack,2011,8/22/2011,10:05 AM,8/22/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,N/A,N/A,"vandalism, physical"
Severe Weather,2011,8/21/2011,10:45 PM,8/23/2011,10:45 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"2,200","931,000",severe weather
Severe Weather,2011,8/20/2011,5:42 PM,8/23/2011,8:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,RFC,254,"65,000",severe weather
Physical Attack,2011,8/18/2011,9:51 AM,8/18/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2011,8/15/2011,2:05 AM,8/15/2011,3:40 AM,PacifiCorp,Utah,WECC,0,0,vandalism
Severe Weather,2011,8/13/2011,4:41 PM,8/14/2011,7:00 PM,LG&E and KU Energy LLC,Kentucky,SERC,N/A,"181,700",severe weather
Vandalism,2011,8/9/2011,10:26 AM,8/9/2011,5:00 PM,City of Tacoma (TPWR),"Polk Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Severe Weather,2011,8/8/2011,8:58 PM,8/10/2011,4:30 PM,Oklahoma Gas & Electric,Northern and Central Oklahoma,SPP,N/A,"54,000",severe weather
Vandalism,2011,8/8/2011,9:35 AM,8/8/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,N/A,N/A,vandalism
Electrical System Separation,2011,8/8/2011,7:36 PM,8/9/2011,12:00 PM,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,"14,500",islanding
Physical Attack,2011,8/8/2011,9:30 AM,8/8/2011,9:30 AM,Dayton Power & Light,"Greene County, Ohio",RFC,0,0,"vandalism, physical"
Public Appeal,2011,8/4/2011,10:30 AM,8/4/2011,4:00 PM,American Electric Power (AEP),"Arkansas, Oklahoma, Texas",SPP,N/A,N/A,public appeal
Public Appeal,2011,8/3/2011,4:29 PM,8/3/2011,11:40 PM,Grand River Dam Authority,Northeast Oklahoma,SPP,300,N/A,public appeal
Public Appeal,2011,8/3/2011,4:30 PM,8/3/2011,9:00 PM,Entergy,Central Arkansas,SPP,0,0,public appeal
Fuel Supply Emergency,2011,8/3/2011,10:00 AM,8/19/2011,10:00 AM,AES Somerset LLC,Western New York,NPCC,675,Unknown,"fuel supply emergency, coal"
Severe Weather,2011,8/2/2011,9:30 PM,8/3/2011,7:00 PM,Exelon Corporation/ComEd,"Northeast, Illinois",RFC,N/A,"71,500",severe weather
Public Appeal,2011,8/2/2011,10:15 AM,8/3/2011,9:16 AM,Oklahoma Gas & Electric,Oklahoma,SPP,N/A,N/A,public appeal
Public Appeal,2011,8/1/2011,3:00 PM,8/5/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Vandalism,2011,8/1/2011,2:18 PM,8/1/2011,2:18 PM,PacificCorp,"Jefferson, Oregon",WECC,N/A,N/A,vandalism
Vandalism,2011,7/29/2011,11:46 AM,7/29/2011,5:00 PM,City of Tacoma (TPWR),"Fredrickson, Washington",WECC,N/A,N/A,vandalism
Severe Weather,2011,7/29/2011,8:45 PM,8/1/2011,4:24 AM,FirstEnergy Corp: Jersey Central Power & Light,Central New Jersey,RFC,N/A,"67,900",severe weather
Vandalism,2011,7/28/2011,7:25 PM,7/28/2011,7:25 PM,City of Tacoma (TPWR),"Spanaway, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,7/28/2011,1:32 PM,7/28/2011,1:32 PM,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,N/A,N/A,vandalism
Severe Weather,2011,7/28/2011,12:14 AM,7/29/2011,12:00 PM,Exelon Corporation/ComEd,"Entire ComEd Territory, Indiana",RFC,N/A,"201,000",severe weather
Fuel Supply Emergency,2011,7/28/2011,7:26 AM,7/29/2011,7:26 AM,Owensboro Municipal Utilities,"Daviess County, Kentucky",SERC,N/A,N/A,"fuel supply emergency, coal"
Vandalism,2011,7/27/2011,12:07 PM,7/27/2011,12:08 PM,Tacoma Power (TPWR),"Fife, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,7/26/2011,12:01 PM,7/26/2011,12:01 PM,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0,vandalism
Vandalism,2011,7/24/2011,2:34 PM,7/24/2011,3:47 PM,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0,vandalism
Severe Weather,2011,7/23/2011,2:30 AM,7/24/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,N/A,"169,000",severe weather
Public Appeal,2011,7/22/2011,11:00 AM,7/22/2011,6:00 PM,Niagara Mohawk Power Corporation (dba National Grid),"Upstate, New York",NPCC,N/A,N/A,public appeal
Load Shed,2011,7/22/2011,11:34 AM,7/22/2011,5:26 PM,PJM Interconnection,Ohio,RFC,206,"23,000",load shedding
Public Appeal,2011,7/21/2011,1:00 PM,7/21/2011,3:00 PM,City Water Light and Power,"Springfield, Illinois",SERC,N/A,N/A,public appeal
Public Appeal,2011,7/21/2011,12:32 PM,7/22/2011,6:30 AM,Consumers Energy,"Lower Peninsula, Michigan",RFC,"8,881",N/A,public appeal
Vandalism,2011,7/20/2011,9:10 AM,7/20/2011,4:30 PM,Tacoma Power (TPWR),"Frederickson Substation, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,7/19/2011,11:45 AM,7/19/2011,3:00 PM,Central Maine Power Company,Maine,NPCC,N/A,N/A,vandalism
Severe Weather,2011,7/18/2011,5:00 PM,7/24/2011,1:30 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeast Michigan,RFC,N/A,"197,166",severe weather
Public Appeal,2011,7/14/2011,11:00 AM,7/14/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Load Shed,2011,7/13/2011,5:19 PM,7/13/2011,10:03 PM,Public Service Company of Colorado,"Pueblo, Colorado",WECC,580,N/A,load shedding
Physical Attack,2011,7/12/2011,8:20 PM,7/12/2011,9:30 PM,Gen On,California,WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2011,7/12/2011,12:00 PM,7/12/2011,12:00 PM,Central Maine Power Company,Maine,NPCC,N/A,0,vandalism
Severe Weather,2011,7/11/2011,2:27 PM,7/12/2011,3:50 PM,American Electric Power (AEP),"Indiana, Michigan, Ohio",RFC,N/A,"120,000",severe weather
Vandalism,2011,7/11/2011,1:30 PM,7/11/2011,1:30 PM,Central Maine Power Company,Maine,NPCC,N/A,0,vandalism
Vandalism,2011,7/11/2011,1:13 PM,7/11/2011,1:13 PM,Duke Energy,Southwest Ohio,RFC,0,0,vandalism
Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,10:25 AM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"103,000",severe weather
Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,N/A,"500,000",severe weather
Severe Weather,2011,7/11/2011,11:15 AM,7/12/2011,8:15 AM,Consumers Energy,Western and Southern Lower Peninsula Michigan,RFC,N/A,"85,000",severe weather
Vandalism,2011,7/8/2011,10:00 AM,7/8/2011,10:00 AM,Minnesota Power,"Saginaw, Minnesota",MRO,0,0,vandalism
Cyber Attack,2011,7/8/2011,10:00 AM,7/11/2011,9:00 AM,PJM Interconnection,"PJM Corporate Office, Pennsylvania",RFC,N/A,Unknown,"vandalism, cyber"
Vandalism,2011,7/6/2011,9:51 AM,7/6/2011,9:52 AM,ISO New England,Vermont,NPCC,N/A,N/A,vandalism
Vandalism,2011,7/5/2011,10:40 AM,7/5/2011,11:37 AM,PacifiCorp,West Valley Substation Utah,WECC,0,0,vandalism
Severe Weather,2011,7/4/2011,6:00 PM,7/4/2011,9:00 PM,Dominion Virginia Power,Virginia,SERC,150,"51,580",severe weather
Severe Weather,2011,7/2/2011,8:15 PM,7/6/2011,10:00 PM,"Detroit Edison, Subsidiary of DTE Energy","South East, Lower Peninsula, Michigan",RFC,N/A,"182,000",severe weather
Vandalism,2011,7/1/2011,4:38 PM,7/1/2011,10:38 PM,Dayton Power & Light,Greene County Ohio,RFC,N/A,0,vandalism
Severe Weather,2011,7/1/2011,5:00 PM,7/3/2011,8:00 PM,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MRO,N/A,"70,000",severe weather
Vandalism,2011,7/1/2011,8:00 AM,7/1/2011,8:01 AM,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0,vandalism
Load Shed,2011,6/30/2011,2:11 PM,6/30/2011,11:25 PM,Salt River Project,"Phoenix, Arizona",WECC,"5,299","160,000",load shedding
Vandalism,2011,6/30/2011,10:31 PM,6/30/2011,10:31 PM,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0,vandalism
Severe Weather,2011,6/30/2011,10:30 PM,7/1/2011,5:00 PM,Exelon Corporation/ComEd,Illinois,RFC,N/A,"121,000",severe weather
Public Appeal,2011,6/29/2011,11:30 AM,6/29/2011,6:04 PM,Southwestern Public Service,"Panhandle and Muleshoe, Texas",SPP,0,0,public appeal
Public Appeal,2011,6/27/2011,3:00 PM,6/27/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Vandalism,2011,6/27/2011,6:55 PM,6/27/2011,6:55 PM,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WECC,N/A,Unknown,vandalism
Storm,2011,6/27/2011,12:00 AM,6/29/2011,1:00 AM,AMEREN,Illinois; Missouri,SERC,N/A,"80,000","severe weather, thunderstorm"
Storm,2011,6/26/2011,6:00 PM,6/27/2011,1:00 PM,Southern Company,Alabama; Georgia,SERC,300,"90,160","severe weather, thunderstorm"
Public Appeal,2011,6/26/2011,4:46 PM,6/27/2011,7:59 AM,Sunflower Electric Power Corporation,Southwest Kansas,SPP,N/A,Unknown,public appeal
Storm,2011,6/24/2011,6:30 PM,6/25/2011,1:30 AM,Southern Company,North/North Central Alabama; Georgia,SERC,340,"102,275","severe weather, thunderstorm"
Vandalism,2011,6/23/2011,8:10 AM,6/23/2011,9:00 AM,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0,vandalism
Vandalism,2011,6/22/2011,8:12 PM,6/22/2011,8:12 PM,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0,vandalism
Severe Weather,2011,6/22/2011,9:46 AM,6/22/2011,9:46 AM,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",SERC,N/A,"106,300",severe weather
Storm,2011,6/22/2011,7:00 PM,6/23/2011,1:00 AM,Southern Company,Alabama; Georgia,SERC,316,"75,101","severe weather, thunderstorm"
Severe Weather,2011,6/21/2011,6:30 PM,6/22/2011,7:00 AM,American Electric Power (AEP),AEP Region,RFC,N/A,"56,000",severe weather
Storm,2011,6/21/2011,9:45 PM,6/23/2011,2:00 AM,Exelon Corporation/ComEd,Illinois,RFC,N/A,"300,000","severe weather, thunderstorm"
Vandalism,2011,6/20/2011,10:36 AM,6/20/2011,10:36 AM,Tacoma Power (TPWR),"Collins Substation, Washington",WECC,0,0,vandalism
